 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-29-04-048493-d4e38d44d17e-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698535747.823518000] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698535747.866667503] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698535747.878946646] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698535747.896538850] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698535747.940860367] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698535747.957392559] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698535748.007893147] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698535748.040864529] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698535748.126762525] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698535748.173904072] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698535748.185205203] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698535748.355215174] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698535748.404103740] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698535748.410736817] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698535748.422359952] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698535748.487582708] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698535748.536819279] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698535748.566412622] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698535749.214507124] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535750.237162912] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535751.263912692] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535752.285827360] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535753.304080930] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535754.323669461] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698535755.341823921] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535756.363843369] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535757.386379768] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698535757.913010621] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698535757.942881953] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698535758.409238115] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535759.429795382] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535760.274865671] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698535760.315513117] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698535760.327700250] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698535760.343509423] [coordinator]: Planing
