 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-23-24-090827-50bec775da4a-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698531807.806661751] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698531807.885857521] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698531807.891270711] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698531807.907610282] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698531807.917768638] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698531807.958643068] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698531807.964341267] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698531807.979419795] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698531808.019617199] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698531808.087821578] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698531808.098289943] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698531808.138960361] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698531808.166474321] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698531808.177377701] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698531808.198280430] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698531808.225193369] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698531808.306452203] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698531808.334333175] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698531808.927623866] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531809.947211322] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531810.961217471] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531811.974528484] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531812.989561444] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531814.002802231] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698531815.015164877] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531816.031375542] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531817.045803035] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698531818.044669892] [planner]: Starting Planner server
trials-all-1  | [coordinator-2] [INFO] [1698531818.057841337] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698531818.068047682] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698531819.070736559] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531819.740890133] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698531819.788396733] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698531819.801200165] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698531819.812371541] [coordinator]: Planing
