 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-22-44-165396-aea2c98f4279-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [53]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [55]
trials-all-1  | [INFO] [environment-3]: process started with pid [57]
trials-all-1  | [INFO] [nurse-4]: process started with pid [59]
trials-all-1  | [INFO] [planner-5]: process started with pid [61]
trials-all-1  | [INFO] [robot-6]: process started with pid [63]
trials-all-1  | [coordinator-2] [INFO] [1698531768.231448018] [coordinator]: Starting Coordinator server
trials-all-1  | [robot-6] [INFO] [1698531768.247832639] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698531768.265769320] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698531768.276901742] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698531768.305729835] [nurse]: Nurse server started
trials-all-1  | [robot-6] [INFO] [1698531768.312772102] [robot]: Robot server started
trials-all-1  | [nurse-4] [INFO] [1698531768.315066189] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698531768.322679478] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698531768.325489585] [coordinator]: Coordinator server started
trials-all-1  | [environment-3] [INFO] [1698531768.346319375] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698531768.351157558] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698531768.367610182] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698531768.407938712] [nurse]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698531768.408791744] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698531768.425705386] [arm]: Arm server started
trials-all-1  | [nurse-4] [INFO] [1698531768.432136629] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698531768.442394018] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698531768.487924745] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698531769.383226657] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531770.397036945] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531771.410622106] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531772.422700092] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531773.438385095] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531774.453286950] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698531775.466004606] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531776.477795111] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531777.488547461] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698531778.494258509] [planner]: Starting Planner server
trials-all-1  | [coordinator-2] [INFO] [1698531778.501832788] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698531778.515962307] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698531779.511318859] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698531780.599821703] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698531780.634610974] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698531780.646162396] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698531780.659826896] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698531780.665012085] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698531780.670524287] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698531780.681009670] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698531780.699464345] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698531780.713088843] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698531780.729471442] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698531780.735266653] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698531780.750696217] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531780.756843442] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698531780.773840063] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531780.779452268] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698531780.785369485] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698531780.789030619] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531780.793243773] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698531780.796675898] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698531780.822928858] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698531780.834059265] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698531780.838528428] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531780.842902588] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698531780.860700238] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698531780.864852390] [coordinator]: a_authenticate_nurse,robot1,nurse1
