 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-31-24-582223-52b64a46bb3c-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698535888.126632783] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698535888.161825202] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698535888.175802369] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698535888.500778239] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698535888.526577547] [environment]: Starting Environment server
trials-all-1  | [robot-6] [INFO] [1698535888.557983921] [robot]: Robot server started
trials-all-1  | [environment-3] [INFO] [1698535888.568164042] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698535888.577066148] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698535888.590945313] [coordinator]: Starting Coordinator server
trials-all-1  | [nurse-4] [INFO] [1698535888.606271496] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698535888.630778788] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698535888.638879884] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698535888.674481308] [coordinator]: Coordinator server started
trials-all-1  | [nurse-4] [INFO] [1698535888.678105351] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698535888.691389510] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698535888.701543631] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698535888.721554869] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698535888.874621692] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698535889.730412846] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535890.745421842] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535891.757187745] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535892.768918593] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535893.780086381] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535894.793820144] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698535895.805481829] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698535896.817349462] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698535897.713117715] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698535897.738511005] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698535897.903808895] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698535897.937453280] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698535897.942793341] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698535897.957997515] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698535897.958781524] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698535897.970648659] [coordinator]: Creating plan for: robot1, nurse1, arm1 
