 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-39-57-114281-e5cc4b3f5292-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698540000.670478351] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698540000.678666527] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698540000.734391732] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698540000.753958154] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698540000.768126461] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698540000.863409519] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698540000.897568258] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698540000.909971526] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698540000.988110214] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698540001.014246778] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698540001.014330780] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698540001.024917008] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698540001.053949634] [nurse]: Nurse server started
trials-all-1  | [arm-1] [INFO] [1698540001.068380945] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698540001.072318030] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698540001.094374505] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698540001.135018381] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698540001.143551565] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698540001.939424717] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540002.958063615] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540003.977759475] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540004.998459298] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540006.018613049] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540007.032295603] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698540008.044835074] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540009.056360465] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540010.068290807] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698540010.564075237] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698540010.582704629] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698540011.084241175] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540012.096988419] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540012.938503027] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698540013.062850625] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698540013.075191883] [coordinator]: Sending response
