 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-17-21-777837-54641447e130-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698527846.672868951] [environment]: Starting Environment server
trials-all-1  | [arm-1] [INFO] [1698527846.721947655] [arm]: Starting Arm server
trials-all-1  | [environment-3] [INFO] [1698527846.726792626] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698527846.788916250] [robot]: Starting Robot server
trials-all-1  | [arm-1] [INFO] [1698527846.806846142] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698527846.820919057] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698527846.841780931] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698527846.851419873] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698527846.899687581] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698527846.919566461] [coordinator]: Starting Coordinator server
trials-all-1  | [nurse-4] [INFO] [1698527846.962332203] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698527847.002892957] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698527847.010925908] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698527847.011903902] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698527847.017956864] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698527847.088739424] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698527847.101250347] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698527847.154660015] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698527848.062006368] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527849.074941890] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527850.090372220] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527851.107927361] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527852.122141349] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527853.134169179] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527854.147281828] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698527855.163205282] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527856.179486560] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527857.198139646] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698527858.109307425] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698527858.160850009] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698527858.352335464] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698527858.390244158] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698527858.397787097] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698527858.402226061] [coordinator]: Creating plan for: robot1, nurse1, arm1 
