 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-33-31-905554-01a98be5cd45-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698536015.462238500] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698536015.516594744] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698536015.527015791] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698536015.575495009] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698536015.627255242] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698536015.634195273] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698536015.724545679] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698536015.750364795] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698536015.755233817] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698536015.781969937] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698536015.795961000] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698536015.809790062] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698536015.819241105] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698536015.823205123] [nurse]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698536015.872453344] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698536015.881945387] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698536015.930288604] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698536016.038756091] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698536016.549237366] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536017.560927855] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536018.573156308] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536019.584842719] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536020.596067089] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536021.607844423] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698536022.620489721] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536023.633683983] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536024.645723202] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698536025.316782979] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698536025.331408039] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698536025.656854379] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536026.678367559] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536027.511761940] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698536027.549486093] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698536027.557309124] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698536027.566989163] [coordinator]: Planing
