 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-42-10-947541-4941d20e3a9a-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698540134.344782231] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698540134.369584618] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698540134.508494784] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698540134.554496501] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698540134.568652721] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698540134.648783971] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698540134.676972410] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698540134.686619561] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698540134.706907877] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698540134.740523401] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698540134.745996486] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698540134.790649182] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698540134.826267738] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698540134.830793808] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698540134.872113452] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698540134.994985368] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698540135.003305498] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698540135.034053976] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698540135.592316654] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540136.610153448] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540137.626576175] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540138.644259874] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540139.661834526] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540140.677524102] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698540141.694257648] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540142.709660128] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540143.723917545] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698540144.166058253] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698540144.185452547] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698540144.742970989] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540145.763170404] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540146.610706174] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698540146.654485833] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698540146.666607016] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698540146.680245221] [coordinator]: Planing
