 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-19-39-353610-9dc0557313d4-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698527983.755813297] [coordinator]: Starting Coordinator server
trials-all-1  | [nurse-4] [INFO] [1698527983.786204194] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698527983.822958070] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698527983.833710034] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698527983.856103958] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698527983.871383906] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698527983.994113492] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698527983.995847486] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698527984.021450396] [environment]: Starting Environment server
trials-all-1  | [arm-1] [INFO] [1698527984.041371326] [arm]: Arm server started
trials-all-1  | [environment-3] [INFO] [1698527984.052814285] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698527984.060866256] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698527984.089918153] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698527984.107528091] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698527984.154789923] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698527984.156191918] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698527984.169181872] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698527984.200359761] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698527984.914794223] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527985.933494445] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527986.946730508] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527987.958135402] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527988.970470117] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527989.981212662] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698527990.992858029] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527992.005123217] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527993.018418224] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698527993.989457275] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698527994.007247184] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698527994.031014059] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527995.052345673] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698527995.482661334] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698527995.519203135] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698527995.533405058] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698527995.540702018] [coordinator]: Planing
