 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-35-43-476670-ff823bce8982-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698536146.898568180] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698536146.935746663] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698536146.979451230] [robot]: Starting Robot server
trials-all-1  | [coordinator-2] [INFO] [1698536146.981486256] [coordinator]: Starting Coordinator server
trials-all-1  | [robot-6] [INFO] [1698536147.037817986] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698536147.041955039] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698536147.050698152] [nurse]: Starting Nurse server
trials-all-1  | [coordinator-2] [INFO] [1698536147.061181288] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698536147.076164481] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698536147.091039674] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698536147.104920853] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698536147.123648095] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698536147.168770678] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698536147.181987849] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698536147.261414876] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698536147.287731216] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698536147.297238339] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698536147.333377806] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698536148.115681911] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536149.129495953] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536150.142929935] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536151.155651852] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536152.169828732] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536153.184728567] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698536154.196968313] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536155.208826999] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536156.224104673] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698536156.773153505] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698536156.789338706] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698536157.237951275] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536158.258342903] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536159.113945452] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698536159.155600963] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698536159.167534110] [coordinator]: Sending response
