 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-44-22-776318-6b9b8d24f523-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [53]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [55]
trials-all-1  | [INFO] [environment-3]: process started with pid [57]
trials-all-1  | [INFO] [nurse-4]: process started with pid [59]
trials-all-1  | [INFO] [planner-5]: process started with pid [61]
trials-all-1  | [INFO] [robot-6]: process started with pid [63]
trials-all-1  | [nurse-4] [INFO] [1698540266.429225908] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698540266.438545030] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698540266.477387538] [nurse]: Nurse server started
trials-all-1  | [environment-3] [INFO] [1698540266.478162549] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698540266.481796596] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698540266.485811649] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698540266.517512064] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698540266.521495116] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698540266.609979273] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698540266.646464751] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698540266.651945823] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698540266.657236892] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698540266.695639394] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698540266.700399457] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698540266.726449797] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698540266.805514832] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698540266.811945916] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698540266.821412040] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698540267.681858272] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540268.695776472] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540269.709547629] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540270.720284707] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540271.734454789] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540272.750435853] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698540273.766574880] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540274.781481850] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540275.794406755] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698540276.300507187] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698540276.317725406] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698540276.812611687] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540277.838580678] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540278.435148210] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698540278.468175626] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698540278.481238791] [coordinator]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698540278.496865988] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698540278.512258183] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698540278.518674264] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698540278.526387361] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698540278.530635414] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698540278.551811682] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698540278.555799732] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698540278.574340966] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698540278.578420017] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698540278.592242192] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698540278.597663260] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698540278.614051467] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698540278.619021529] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698540278.623132581] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698540278.627365635] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698540278.647566890] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698540278.652454951] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698540278.672004198] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698540278.677821271] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540278.693553470] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698540278.698831536] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698540278.713915727] [coordinator]: a_authenticate_nurse,robot1,nurse1
