 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-21-57-977433-f069e43ed8cb-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698528122.207401584] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698528122.272200892] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698528122.373827287] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698528122.430504046] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698528122.452148501] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698528122.656821913] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698528122.743775898] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698528122.764714045] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698528122.818612591] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698528122.951722740] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698528123.006400619] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698528123.010844542] [nurse]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698528123.133787757] [nurse]: Nurse clients started
trials-all-1  | [arm-1] [INFO] [1698528123.160485313] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698528123.165545503] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698528123.204745470] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698528123.217020783] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698528123.273594271] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698528123.494754997] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528124.531318565] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528125.551204794] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528126.565068401] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528127.578523823] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528128.591773193] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528129.604284317] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698528130.614954794] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528131.628647625] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528132.641545286] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528133.653747859] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698528133.829122029] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698528133.855295353] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698528134.007562409] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698528134.037194989] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698528134.047693091] [coordinator]: Sending response
