 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-21-17-089230-78d050c2f786-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698528081.365489147] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698528081.459182467] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698528081.468746439] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698528081.750692580] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698528081.791300954] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698528081.795700861] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698528081.910013434] [robot]: Starting Robot server
trials-all-1  | [nurse-4] [INFO] [1698528081.921007701] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698528081.944986646] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698528081.965704918] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698528081.975795999] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698528081.995523067] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698528081.999409868] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698528082.019803056] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698528082.061858680] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698528082.074821338] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698528082.109964545] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698528082.115487677] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698528082.516066822] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528083.529920132] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528084.544302374] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528085.559772662] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528086.575682873] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528087.639440466] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698528088.656134463] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528089.671214987] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528090.684001915] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528091.696945737] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528092.713505128] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698528092.782650531] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698528092.802441367] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698528093.285269651] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698528093.331341531] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698528093.337528724] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698528093.345836325] [coordinator]: Planing
