 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-46-34-830397-cace54258593-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698540398.320502309] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698540398.393371297] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698540398.405484461] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698540398.415901602] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698540398.462898239] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698540398.468479315] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698540398.517203975] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698540398.569982690] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698540398.574037745] [robot]: Starting Robots clients
trials-all-1  | [environment-3] [INFO] [1698540398.580246830] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698540398.610083234] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698540398.709553582] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698540398.779307527] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698540398.823317124] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698540398.828712197] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698540398.884210949] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698540399.034699987] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698540399.059600324] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698540399.859315130] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540400.875114821] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540401.892413491] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540402.906872082] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540403.921388633] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540404.932792101] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698540405.944831538] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540406.957284940] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540407.969962304] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698540408.440302493] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698540408.468834869] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698540408.564481127] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698540408.581285348] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698540408.594549523] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698540408.604467653] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698540408.608320704] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [nurse-4] [INFO] [1698540408.614193781] [nurse]: Request response:Okay!
