 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-24-18-483467-f5bec119d52b-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698528263.231160063] [environment]: Starting Environment server
trials-all-1  | [coordinator-2] [INFO] [1698528263.265445963] [coordinator]: Starting Coordinator server
trials-all-1  | [environment-3] [INFO] [1698528263.267470017] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698528263.333656755] [robot]: Starting Robot server
trials-all-1  | [coordinator-2] [INFO] [1698528263.381999025] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698528263.403243583] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698528263.427254213] [nurse]: Starting Nurse server
trials-all-1  | [robot-6] [INFO] [1698528263.449568800] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698528263.469439322] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698528263.498314080] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698528263.519915647] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698528263.547987385] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698528263.616482184] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698528263.644866929] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698528263.713771739] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698528263.740228434] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698528263.744329542] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698528263.784417595] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698528264.454596137] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528265.486348035] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528266.500529336] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528267.514868505] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528268.527404491] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528269.540875366] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698528270.553115073] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528271.565312645] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528272.577241075] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528273.589619382] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698528274.065835252] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698528274.082520666] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698528274.601841551] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528274.966064587] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698528275.011810721] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698528275.024983046] [coordinator]: Sending response
