 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-32-15-779375-abf6e727e112-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698532339.330616231] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698532339.396545332] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698532339.583827459] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698532339.672508940] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698532339.678235036] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698532339.781483760] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698532339.832662615] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698532339.839419728] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698532339.954259646] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698532339.977568035] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698532339.981976109] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698532340.076776687] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698532340.106907188] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698532340.117694367] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698532340.145385828] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698532340.159451062] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698532340.172721283] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698532340.262113769] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698532340.717106337] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532341.734269205] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532342.746735925] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532343.758486563] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532344.769604121] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532345.780419606] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698532346.792742045] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532347.805979430] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532348.816206698] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532349.832042987] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698532350.123899655] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698532350.141947943] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698532350.846731188] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532351.458589920] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698532351.501522602] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698532351.512938783] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698532351.528062023] [coordinator]: Planing
