 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-40-12-741826-8403be4dfcc5-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698536416.404691317] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698536416.527065523] [robot]: Robot server started
trials-all-1  | [coordinator-2] [INFO] [1698536416.554189233] [coordinator]: Starting Coordinator server
trials-all-1  | [nurse-4] [INFO] [1698536416.557864330] [nurse]: Starting Nurse server
trials-all-1  | [robot-6] [INFO] [1698536416.559605375] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698536416.600601449] [nurse]: Nurse server started
trials-all-1  | [arm-1] [INFO] [1698536416.601421471] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698536416.608957668] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698536416.636215382] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698536416.644630603] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698536416.650705762] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698536416.665285144] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698536416.821537237] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698536416.845256859] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698536416.860913269] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698536416.941442379] [nurse]: Nurse clients started
trials-all-1  | [arm-1] [INFO] [1698536416.949548591] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698536416.961192896] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698536417.690969962] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536418.707089450] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536419.722181832] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536420.734555064] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536421.747319227] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536422.757808253] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698536423.768281201] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536424.782154157] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536425.793420968] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698536425.956920139] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698536425.979759721] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698536426.818872063] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536427.842799039] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536428.436735065] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698536428.468824876] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698536428.473756001] [coordinator]: Sending response
