 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-48-42-920659-30cfe9ec1b71-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698540526.388932350] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698540526.418371574] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698540526.424234618] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698540526.511833284] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698540526.511826284] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698540526.547064551] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698540526.559355645] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698540526.565622692] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698540526.602042969] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698540526.624677141] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698540526.631102190] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698540526.659263404] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698540526.967966749] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698540527.014243101] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698540527.018639134] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698540527.119188895] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698540527.251297895] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698540527.266309009] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698540528.052019955] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540529.067281610] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540530.081615229] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540531.094107806] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540532.106729356] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540533.118923874] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698540534.132830376] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540535.148405863] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540536.161631304] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698540536.426348242] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698540536.446963393] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698540537.174986718] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540538.194773150] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540539.042961312] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698540539.080530584] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698540539.094238683] [coordinator]: Sending response
