 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-26-40-317253-c6591aee8ecc-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698528403.906652333] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698528403.934645938] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698528403.945216167] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698528403.997977308] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698528404.024998889] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698528404.066006771] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698528404.102583557] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698528404.112458770] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698528404.204683752] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698528404.243495587] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698528404.256614869] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698528404.377152460] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698528404.399278936] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698528404.404956058] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698528404.433383669] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698528404.502303151] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698528404.521320560] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698528405.284901942] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698528405.441526290] [arm]: robot service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528406.306396741] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698528406.452923856] [arm]: robot service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698528407.223281203] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698528407.328624429] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528408.349334959] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528409.369516351] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528410.390429633] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698528411.410168764] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528412.421323593] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528413.432740306] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698528414.433102671] [planner]: Starting Planner server
trials-all-1  | [coordinator-2] [INFO] [1698528414.443503882] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698528414.461362244] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698528414.777141651] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698528414.811125341] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698528414.815679433] [coordinator]: Sending response
