 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-34-33-602899-6840385d6735-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698532477.335986717] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698532477.373918100] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698532477.386319225] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698532477.405225416] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698532477.459854968] [nurse]: Nurse server started
trials-all-1  | [environment-3] [INFO] [1698532477.464823018] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698532477.474444115] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698532477.492011293] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698532477.504509419] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698532477.541667794] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698532477.549379872] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698532477.615500540] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698532477.646412852] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698532477.650554894] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698532477.678770179] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698532477.703835432] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698532477.795306356] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698532477.826226669] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698532478.575887210] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532479.589168358] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532480.602350450] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532481.617312503] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532482.630512484] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532483.643345405] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698532484.657889287] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532485.667130063] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532486.679815817] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698532487.088663744] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698532487.106171911] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698532487.694152533] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532488.718051283] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532489.324336030] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698532489.432748055] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698532489.437509100] [coordinator]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698532489.447235192] [nurse]: Request response:Okay!
