 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-33-53-856409-bf4736df811c-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698532437.778105556] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698532437.810943074] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698532437.815690149] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698532437.906538582] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698532437.967385541] [robot]: Robot server started
trials-all-1  | [coordinator-2] [INFO] [1698532437.981069757] [coordinator]: Starting Coordinator server
trials-all-1  | [robot-6] [INFO] [1698532437.983550796] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698532438.026155467] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698532438.032881572] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698532438.044282751] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698532438.068806136] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698532438.069598149] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698532438.093805529] [nurse]: Nurse server started
trials-all-1  | [arm-1] [INFO] [1698532438.112883829] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698532438.115647872] [nurse]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698532438.181006898] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698532438.195675129] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698532438.300680778] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698532439.058698678] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532440.074642560] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532441.089727362] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532442.102811065] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532443.119115750] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532444.133182334] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698532445.145644827] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532446.158512259] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532447.173050650] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698532447.896401584] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698532447.915162868] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698532448.186093951] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532449.203878258] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532449.795034118] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698532449.829445634] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698532449.845382872] [coordinator]: Planing
