 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-28-11-415546-465e44f2a2ac-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698528495.376697892] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698528495.430402890] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698528495.435520985] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698528495.533708811] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698528495.571115506] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698528495.578042635] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698528495.602489089] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698528495.633921673] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698528495.636764726] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698528495.688443687] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698528495.692998771] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698528495.784703476] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698528495.826780258] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698528495.836840445] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698528495.879162232] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698528495.892695483] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698528495.986945235] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698528496.011693694] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698528496.730336970] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528497.741675567] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528498.757827135] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528499.768759491] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528500.782535780] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528501.795497939] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698528502.809757003] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528503.822058916] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528504.834105709] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698528505.277962472] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698528505.297266809] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698528505.845427373] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528506.865570074] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528507.501528042] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698528507.598916719] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698528507.603638801] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698528507.618973065] [coordinator]: Planing
