 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-44-37-149540-2487e2728a1d-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [51]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [53]
trials-all-1  | [INFO] [environment-3]: process started with pid [55]
trials-all-1  | [INFO] [nurse-4]: process started with pid [57]
trials-all-1  | [INFO] [planner-5]: process started with pid [59]
trials-all-1  | [INFO] [robot-6]: process started with pid [61]
trials-all-1  | [coordinator-2] [INFO] [1698536681.116976364] [coordinator]: Starting Coordinator server
trials-all-1  | [arm-1] [INFO] [1698536681.144199663] [arm]: Starting Arm server
trials-all-1  | [coordinator-2] [INFO] [1698536681.175791009] [coordinator]: Coordinator server started
trials-all-1  | [arm-1] [INFO] [1698536681.193358202] [arm]: Arm server started
trials-all-1  | [coordinator-2] [INFO] [1698536681.196732239] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698536681.202588303] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698536681.258497917] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698536681.283122187] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698536681.313638522] [nurse]: Nurse server started
trials-all-1  | [environment-3] [INFO] [1698536681.323053625] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698536681.329292693] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698536681.460215130] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698536681.500304570] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698536681.504491616] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698536681.546041072] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698536681.659419316] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698536681.675367491] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698536681.746287269] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698536682.228989555] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536683.245447651] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536684.263741719] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536685.281422733] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536686.296132668] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536687.316145613] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698536688.334470493] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536689.348719282] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536690.366539062] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698536690.871279394] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698536690.892702620] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698536691.384357796] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536692.403059493] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698536693.487397827] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698536693.528942260] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698536693.542697403] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698536693.556699549] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698536693.559480578] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698536693.569816686] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698536693.667059700] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698536693.680531840] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698536693.691605956] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698536693.721020263] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698536693.725052305] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698536693.741761479] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698536693.746397527] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698536693.750787573] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698536693.755005617] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698536693.769210765] [planner]: a_approach_arm,robot1,arm1
