 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-53-07-597493-6b672cd63708-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698540791.910482311] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698540791.934584755] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698540791.943151557] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698540791.947747451] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698540791.975006821] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698540791.983393628] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698540792.022054735] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698540792.051683052] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698540792.068584662] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698540792.107496765] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698540792.112381652] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698540792.127797297] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698540792.169265340] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698540792.178552126] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698540792.239179728] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698540792.265850113] [nurse]: Nurse clients started
trials-all-1  | [arm-1] [INFO] [1698540792.278550820] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698540792.288439592] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698540793.138704986] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540794.154486597] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540795.171130221] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540796.187642880] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540797.201527633] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540798.213759457] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698540799.226843293] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540800.241811119] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540801.253951042] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698540801.576055705] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698540801.593040318] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698540802.269427921] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540803.308543296] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540803.903166790] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698540803.943992863] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698540803.952385672] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698540803.962934432] [coordinator]: Planing
