 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-52-28-299266-6d4810dc8dda-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698540752.432333042] [environment]: Starting Environment server
trials-all-1  | [coordinator-2] [INFO] [1698540752.472124035] [coordinator]: Starting Coordinator server
trials-all-1  | [environment-3] [INFO] [1698540752.491542544] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698540752.502062278] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698540752.556980888] [robot]: Robot server started
trials-all-1  | [coordinator-2] [INFO] [1698540752.558299855] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698540752.562570747] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698540752.564035710] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698540752.633815944] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698540752.746540092] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698540752.756926829] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698540752.782878172] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698540752.787258062] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698540752.797802795] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698540752.802994663] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698540752.864059118] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698540752.894437350] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698540752.920451691] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698540753.614442154] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540754.629325534] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540755.642642992] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540756.658520422] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540757.675538862] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540758.691079375] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698540759.704010992] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540760.720012569] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540761.734940209] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698540762.287895409] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698540762.305489970] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698540762.767935437] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540763.789707981] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698540764.378309336] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698540764.418535336] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698540764.429686058] [coordinator]: Sending response
