 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-30-28-082219-a38d397962f3-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698528632.783333858] [coordinator]: Starting Coordinator server
trials-all-1  | [arm-1] [INFO] [1698528632.811977239] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698528632.829677475] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698528632.852956785] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698528632.857737848] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698528632.887116239] [coordinator]: Coordinator server started
trials-all-1  | [nurse-4] [INFO] [1698528632.897526378] [nurse]: Nurse server started
trials-all-1  | [coordinator-2] [INFO] [1698528632.898530391] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698528632.917869649] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698528633.033986192] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698528633.058986522] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698528633.090429937] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698528633.126546415] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698528633.138824577] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698528633.160138858] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698528633.195942331] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698528633.220092650] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698528633.248191021] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698528633.927407993] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528634.942034298] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528635.953619459] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528636.965997524] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528637.977404472] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528638.989443325] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698528640.001541073] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528641.013674718] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528642.026645268] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698528642.842870301] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698528642.861520530] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698528643.040963732] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528644.052659059] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528644.381734037] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698528644.414476433] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698528644.422856535] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698528644.434795679] [coordinator]: Planing
