 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-38-57-112199-cde39b1f0fca-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [53]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [55]
trials-all-1  | [INFO] [environment-3]: process started with pid [57]
trials-all-1  | [INFO] [nurse-4]: process started with pid [59]
trials-all-1  | [INFO] [planner-5]: process started with pid [61]
trials-all-1  | [INFO] [robot-6]: process started with pid [63]
trials-all-1  | [robot-6] [INFO] [1698532741.371984159] [robot]: Starting Robot server
trials-all-1  | [nurse-4] [INFO] [1698532741.413574615] [nurse]: Starting Nurse server
trials-all-1  | [robot-6] [INFO] [1698532741.425271462] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698532741.430439394] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698532741.472680841] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698532741.488139639] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698532741.559391706] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698532741.611368025] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698532741.691272979] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698532741.726789514] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698532741.732681437] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698532741.785861741] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698532741.875486567] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698532741.937785752] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698532741.944034670] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698532742.014766744] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698532742.067765049] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698532742.078002915] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698532742.985401027] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532744.001173709] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532745.014444415] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532746.027105120] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532747.040918800] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532748.049499540] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698532749.062779209] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532750.075626874] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532751.090056509] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698532751.902290801] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698532751.929459443] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698532752.101639172] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532753.113728820] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532753.469345126] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698532753.503297677] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698532753.513393544] [coordinator]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698532753.526361373] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698532753.544731130] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698532753.555961982] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698532753.579515671] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698532753.594276476] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698532753.618050163] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698532753.632755968] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698532753.637706903] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698532753.654312684] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532753.658274632] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698532753.663540562] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532753.675069410] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698532753.679704349] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698532753.693722164] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532753.698752097] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698532753.703416036] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698532753.708358970] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698532753.717764846] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698532753.724817753] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532753.728301707] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698532753.752745384] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698532753.771116142] [coordinator]: a_authenticate_nurse,robot1,nurse1
