 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-41-08-306333-b703d598c7bc-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698532871.857905887] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698532871.890147499] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698532871.913227220] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698532872.161574223] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698532872.202497729] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698532872.222863483] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698532872.301454535] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698532872.327757217] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698532872.334732133] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698532872.353800903] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698532872.387489496] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698532872.400799335] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698532872.435386918] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698532872.440179860] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698532872.462322593] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698532872.502850103] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698532872.650100326] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698532872.676363009] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698532873.257447991] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532874.270189751] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532875.282520505] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532876.297350218] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532877.313307905] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532878.327242605] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698532879.342000284] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532880.353682990] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532881.365502682] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698532881.971630305] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698532881.995843010] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698532882.377516361] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532883.398895915] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532884.266530333] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698532884.319764683] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698532884.325204617] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698532884.332947523] [coordinator]: Planing
