 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-57-31-418827-85470fc260c5-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698541055.004458016] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698541055.046510537] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698541055.347309109] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698541055.380229734] [arm]: Starting Arm server
trials-all-1  | [coordinator-2] [INFO] [1698541055.389604627] [coordinator]: Starting Coordinator server
trials-all-1  | [nurse-4] [INFO] [1698541055.403127473] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698541055.407035429] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698541055.452016916] [coordinator]: Coordinator server started
trials-all-1  | [arm-1] [INFO] [1698541055.461885804] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698541055.471069699] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698541055.475547648] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698541055.604185182] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698541055.638638789] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698541055.646894695] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698541055.686010249] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698541055.772959258] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698541055.782789146] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698541055.791777044] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698541056.518437767] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541057.530321249] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541058.542098740] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541059.554507233] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541060.569218709] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541061.583049203] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698541062.598282690] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541063.614392175] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698541064.585652177] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698541064.641936540] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698541064.679965110] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698541064.714075724] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698541064.720083656] [coordinator]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698541064.730019543] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698541064.744225382] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698541064.756835240] [coordinator]: Creating plan for: robot1, nurse1, arm1 
