 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-00-32-433528-cc9f6225ecab-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698530435.947628426] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698530435.994485467] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698530436.009418480] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698530436.170925613] [arm]: Starting Arm server
trials-all-1  | [coordinator-2] [INFO] [1698530436.200886637] [coordinator]: Starting Coordinator server
trials-all-1  | [arm-1] [INFO] [1698530436.221412654] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698530436.235945666] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698530436.243085672] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698530436.253239680] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698530436.450617843] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698530436.476543864] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698530436.511237892] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698530436.546711922] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698530436.557799931] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698530436.587160955] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698530436.604414969] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698530436.604414969] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698530437.279602508] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698530437.538821706] [arm]: robot service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530438.317210283] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698530438.552633450] [arm]: robot service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698530439.060774806] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698530439.329505981] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530440.340853619] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530441.354479201] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530442.365123723] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698530443.377942188] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530444.388079594] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530445.400518943] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698530446.243243191] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698530446.263373196] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698530446.414167234] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530447.435038470] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530448.533198657] [coordinator]: Coordinator clients started
