 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-59-53-703124-797dc3f7d15b-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698530397.401140290] [robot]: Starting Robot server
trials-all-1  | [arm-1] [INFO] [1698530397.412152331] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698530397.441502439] [arm]: Arm server started
trials-all-1  | [robot-6] [INFO] [1698530397.445032452] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698530397.449905470] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698530397.467373534] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698530397.476614568] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698530397.501801660] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698530397.506762679] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698530397.647410195] [coordinator]: Starting Coordinator server
trials-all-1  | [environment-3] [INFO] [1698530397.657662233] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698530397.676331301] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698530397.692353360] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698530397.699153385] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698530397.767239635] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698530397.767512636] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698530397.840664905] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698530397.868282007] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698530398.726116112] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530399.739907726] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530400.756006283] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530401.771699775] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530402.786053196] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530403.804967569] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698530404.823216875] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530405.841894118] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530406.858786291] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698530407.209469368] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698530407.223767412] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698530407.873034391] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530408.894248449] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698530409.494742212] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698530409.532646323] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698530409.536739334] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698530409.546026362] [coordinator]: Planing
