 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-07-34-317163-b476fea30866-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698534457.775528714] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698534457.854198455] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698534457.858936319] [robot]: Starting Robots clients
trials-all-1  | [environment-3] [INFO] [1698534457.965728252] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698534458.003880156] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698534458.099535411] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698534458.128106591] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698534458.134034421] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698534458.171296351] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698534458.363744828] [nurse]: Starting Nurse server
trials-all-1  | [coordinator-2] [INFO] [1698534458.372200586] [coordinator]: Starting Coordinator server
trials-all-1  | [nurse-4] [INFO] [1698534458.395994903] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698534458.411707452] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698534458.435530768] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698534458.451518309] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698534458.479895495] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698534458.496442020] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698534458.686908554] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698534459.502772150] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534460.514113157] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534461.526882144] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534462.544626010] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534463.558301013] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534464.573435996] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698534465.585086098] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534466.596917217] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534467.609961321] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698534467.989211507] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698534468.003819090] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698534468.625710369] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534469.645996309] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534470.243138310] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698534470.285349109] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698534470.307266485] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698534470.322339057] [coordinator]: Planing
