 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-06-54-452186-63f01b920f5d-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698534418.156967425] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698534418.216020712] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698534418.307460060] [nurse]: Starting Nurse server
trials-all-1  | [coordinator-2] [INFO] [1698534418.308112041] [coordinator]: Starting Coordinator server
trials-all-1  | [nurse-4] [INFO] [1698534418.337729182] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698534418.363592432] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698534418.386249775] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698534418.394199544] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698534418.484360929] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698534418.511573140] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698534418.517620964] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698534418.536866406] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698534418.582667078] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698534418.594023748] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698534418.637419489] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698534418.694206842] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698534418.705806506] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698534418.820310185] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698534419.418672838] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534420.429845539] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534421.441371251] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534422.454223947] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534423.468145634] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534424.479647412] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698534425.493840134] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534426.505852940] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534427.584632844] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698534428.604312474] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698534428.962846150] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698534428.991097336] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698534429.187460686] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698534429.224213628] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698534429.231788410] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698534429.235656299] [coordinator]: Creating plan for: robot1, nurse1, arm1 
