 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-35-44-418368-b515c5a2438b-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698528948.995402426] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698528949.000690640] [environment]: Starting Environment server
trials-all-1  | [coordinator-2] [INFO] [1698528949.030687851] [coordinator]: Starting Coordinator server
trials-all-1  | [nurse-4] [INFO] [1698528949.046166476] [nurse]: Nurse server started
trials-all-1  | [environment-3] [INFO] [1698528949.046379485] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698528949.059065997] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698528949.106938930] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698528949.121151504] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698528949.163872229] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698528949.212782203] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698528949.222290587] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698528949.300994765] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698528949.386718226] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698528949.396925638] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698528949.423708719] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698528949.434198143] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698528949.461190233] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698528949.508905159] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698528950.150657047] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528951.167803934] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528952.209711653] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528953.230819382] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528954.249842870] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528955.267733157] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698528956.285309277] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528957.301583191] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528958.319228003] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528959.337719694] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528960.355304195] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698528960.498381736] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698528960.518867529] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698528960.927358346] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698528960.964475783] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698528960.976108234] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698528960.979375360] [coordinator]: Sending response
