 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-35-04-786638-967c52b70515-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698528908.646684252] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698528908.723219423] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698528908.746425778] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698528908.943143788] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698528908.953824951] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698528908.962503084] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698528908.985309433] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698528908.990282509] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698528909.001555682] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698528909.012482848] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698528909.018420938] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698528909.068647701] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698528909.261950639] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698528909.292855109] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698528909.298071188] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698528909.779558505] [robot]: coordinator service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698528910.045678545] [nurse]: coordinator service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528910.322948731] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698528910.793295830] [robot]: coordinator service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698528911.075170077] [nurse]: coordinator service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528911.344057108] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698528911.638589523] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698528911.664230908] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698528911.683194192] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698528912.363596354] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528913.386606546] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528914.405980576] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528915.420438429] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698528916.433743159] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528917.446174773] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698528918.464691369] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698528919.060012862] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698528919.081980173] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698528919.476212761] [coordinator]: planner sync service not available, waiting again...
