 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-43-20-251520-ccf09d1832f0-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698533004.252846320] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698533004.295769963] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698533004.383493234] [arm]: Starting Arm server
trials-all-1  | [coordinator-2] [INFO] [1698533004.404219062] [coordinator]: Starting Coordinator server
trials-all-1  | [nurse-4] [INFO] [1698533004.430732841] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698533004.446072714] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698533004.462716576] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698533004.469530519] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698533004.477502453] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698533004.480239430] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698533004.498610277] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698533004.510022182] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698533004.547065875] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698533004.564532730] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698533004.598118450] [nurse]: Nurse clients started
trials-all-1  | [arm-1] [INFO] [1698533004.604525397] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698533004.618149284] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698533004.644322066] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698533005.509933864] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533006.525581396] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533007.537800938] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533008.552945437] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533009.566072934] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533010.579584409] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698533011.594597853] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533012.606662303] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533013.619585728] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698533014.013152393] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698533014.031624236] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698533014.632691132] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533015.647192507] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533016.263892254] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698533016.305342901] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698533016.316051810] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698533016.326680719] [coordinator]: Planing
