 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-42-41-542907-fed428477eb1-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698532965.717907473] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698532965.735075255] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698532965.764971874] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698532965.786418601] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698532965.809267310] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698532965.924034849] [robot]: Starting Robot server
trials-all-1  | [arm-1] [INFO] [1698532965.937980671] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698532965.970609256] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698532965.978435156] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698532965.985880062] [coordinator]: Starting Coordinator server
trials-all-1  | [robot-6] [INFO] [1698532966.002311852] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698532966.007287789] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698532966.061869094] [coordinator]: Coordinator server started
trials-all-1  | [arm-1] [INFO] [1698532966.063534072] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698532966.066281037] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698532966.080669854] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698532966.163304801] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698532966.187661491] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698532967.111514720] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532968.126301780] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532969.140703836] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532970.154921883] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532971.175411841] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532972.210535601] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698532973.221672659] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532974.234053690] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532975.247627697] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532976.259704713] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698532976.337638712] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698532976.355222487] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698532977.275450672] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698532977.662526700] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698532977.703380175] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698532977.718778977] [coordinator]: Planing
