 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-59-02-190384-dbbbb937456a-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698541145.937471932] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698541145.999843160] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698541146.016606953] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698541146.218565454] [arm]: Starting Arm server
trials-all-1  | [coordinator-2] [INFO] [1698541146.240751180] [coordinator]: Starting Coordinator server
trials-all-1  | [arm-1] [INFO] [1698541146.251968041] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698541146.263152903] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698541146.290769561] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698541146.297100483] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698541146.340285949] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698541146.365561636] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698541146.556048280] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698541146.580076983] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698541146.585286918] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698541147.325577764] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698541147.557751894] [arm]: robot service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698541147.604777313] [robot]: coordinator service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698541147.619118136] [nurse]: robot service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541148.337729258] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698541148.570912378] [arm]: robot service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698541148.618091795] [robot]: coordinator service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698541148.633474605] [nurse]: robot service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698541149.142546320] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698541149.165687034] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698541149.333045969] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698541149.349732763] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698541149.403492100] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698541150.361800279] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541151.374577796] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541152.388608309] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698541153.401700843] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541154.412226420] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541155.425505973] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698541155.798030399] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698541155.817640158] [planner]: Planner server started
