 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-45-34-178463-5c1624aab5cd-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698533137.818387925] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698533137.903862563] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698533137.924041478] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698533138.007825124] [robot]: Starting Robot server
trials-all-1  | [arm-1] [INFO] [1698533138.031390024] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698533138.039804988] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698533138.045896962] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698533138.071900852] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698533138.086417790] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698533138.147603530] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698533138.160845474] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698533138.174581415] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698533138.183100379] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698533138.189489352] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698533138.230605177] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698533138.241044133] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698533138.348371676] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698533138.371807577] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698533138.962509066] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533139.974153740] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533140.987982378] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533142.001029993] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533143.014495579] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533144.030598128] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698533145.045535655] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533146.056905171] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533147.068610659] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698533147.867272079] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698533147.883317007] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698533148.081691116] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533149.104205503] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533149.733894648] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698533149.791027389] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698533149.800860344] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698533149.804187329] [coordinator]: Sending response
