 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-01-17-943779-ae533c6302e6-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698541281.199423966] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698541281.229643002] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698541281.234505008] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698541281.586817426] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698541281.613267458] [nurse]: Nurse server started
trials-all-1  | [environment-3] [INFO] [1698541281.614217459] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698541281.618590464] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698541281.655507508] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698541281.883615779] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698541281.931904836] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698541281.945752853] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698541282.064603993] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698541282.097761032] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698541282.102039037] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698541282.126877066] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698541282.778478830] [arm]: robot service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541282.978187064] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698541283.186433305] [nurse]: robot service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698541283.797588011] [arm]: robot service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541283.989812233] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698541284.206105480] [nurse]: robot service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698541284.310904599] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698541284.466209776] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698541284.490815804] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698541285.001236386] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541286.015672525] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541287.032042650] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698541288.046730756] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541289.060062844] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541290.074933918] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541291.089568974] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698541291.105939991] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698541291.395783289] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698541292.106695017] [coordinator]: planner sync service not available, waiting again...
