 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-40-21-004232-7551cb06f269-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698529225.007281810] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698529225.053518310] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698529225.079170143] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698529225.147524361] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698529225.159128737] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698529225.426928426] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698529225.454839332] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698529225.459754491] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698529225.559342722] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698529225.607715292] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698529225.618112629] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698529225.671736369] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698529225.764428377] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698529225.786186083] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698529225.834883663] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698529225.865589659] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698529225.883251232] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698529225.913776222] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698529226.202417561] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529227.218301361] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529228.234174025] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529229.250123555] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529230.261890818] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529231.272592914] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529232.286342972] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698529233.297091803] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529234.309534555] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529235.321308152] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698529235.659789693] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698529235.675152171] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698529236.333424628] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529236.930146134] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698529236.967351288] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698529236.984867831] [coordinator]: Sending response
