 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-55-41-948820-3f984bffa94d-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698537345.123371995] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698537345.159132154] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698537345.177642754] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698537345.512139595] [environment]: Starting Environment server
trials-all-1  | [arm-1] [INFO] [1698537345.537623421] [arm]: Starting Arm server
trials-all-1  | [environment-3] [INFO] [1698537345.553467934] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698537345.565067310] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698537345.570739494] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698537345.904425308] [coordinator]: Starting Coordinator server
trials-all-1  | [robot-6] [INFO] [1698537345.932216209] [robot]: Starting Robot server
trials-all-1  | [coordinator-2] [INFO] [1698537345.979772750] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698537345.994194217] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698537346.001955469] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698537346.005939598] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698537346.048377969] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698537346.113255067] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698537346.230798866] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698537346.255599668] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698537347.038171963] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537348.058168847] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537349.080181711] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537350.094123231] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537351.106245609] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698537352.119168929] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537353.131800157] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537354.145894348] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698537355.099831556] [planner]: Starting Planner server
trials-all-1  | [coordinator-2] [INFO] [1698537355.157761386] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698537355.177807019] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698537355.491967945] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698537355.529113118] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698537355.541529510] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698537355.547002683] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698537355.555133940] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
