 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-23-55-02-790368-eca8c988cdff-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698537306.477505425] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698537306.510604711] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698537306.567415919] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698537306.635489565] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698537306.640602763] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698537306.664035674] [robot]: Starting Robot server
trials-all-1  | [arm-1] [INFO] [1698537306.690146689] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698537306.725805075] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698537306.733733383] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698537306.745674847] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698537306.762550503] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698537306.766225646] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698537306.771210839] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698537306.825558951] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698537306.829897120] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698537306.847746814] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698537306.923638763] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698537306.953643929] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698537307.679128059] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537308.693859333] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537309.706143414] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537310.717423360] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537311.727514164] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537312.738194893] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698537313.750716597] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537314.761918154] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537315.774057652] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698537316.331220800] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698537316.348924472] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698537316.785513027] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537317.825976404] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537318.439710578] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698537318.493727617] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698537318.506476098] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698537318.519084573] [coordinator]: Planing
