 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-03-32-952942-c97576f4b4fa-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [51]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [53]
trials-all-1  | [INFO] [environment-3]: process started with pid [55]
trials-all-1  | [INFO] [nurse-4]: process started with pid [57]
trials-all-1  | [INFO] [planner-5]: process started with pid [59]
trials-all-1  | [INFO] [robot-6]: process started with pid [61]
trials-all-1  | [environment-3] [INFO] [1698541416.611599541] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698541416.656720151] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698541416.750697338] [coordinator]: Starting Coordinator server
trials-all-1  | [nurse-4] [INFO] [1698541416.779351090] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698541416.809947825] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698541416.814319787] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698541416.827676672] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698541416.850893471] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698541416.977860373] [robot]: Starting Robot server
trials-all-1  | [arm-1] [INFO] [1698541417.008358109] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698541417.032018905] [robot]: Robot server started
trials-all-1  | [arm-1] [INFO] [1698541417.032980896] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698541417.037901854] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698541417.051670735] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698541417.081605476] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698541417.099395322] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698541417.137655991] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698541417.158788809] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698541417.888532499] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541418.902726733] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541419.917743962] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541420.929640222] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541421.941805482] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541422.955348733] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698541423.970218975] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541424.981873248] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541425.993882521] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698541426.964975149] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698541426.984575980] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698541427.005204802] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541428.023487027] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541428.619846889] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698541428.670762450] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698541428.681738356] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698541428.692015267] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698541428.698899208] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698541428.703915165] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698541428.727307963] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698541428.738310869] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698541428.766098629] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698541428.784512470] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698541428.793878390] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698541428.812650228] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541428.822363144] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698541428.839994992] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698541428.848062923] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698541428.869450739] [planner]: a_approach_arm,robot1,arm1
