 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-49-58-164998-4503cc1652df-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698533401.723777276] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698533401.770587890] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698533401.777689832] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698533402.031770736] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698533402.069657423] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698533402.141840827] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698533402.157458698] [robot]: Starting Robot server
trials-all-1  | [arm-1] [INFO] [1698533402.184303476] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698533402.188782439] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698533402.208186279] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698533402.219863182] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698533402.244327980] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698533402.306317468] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698533402.332301253] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698533402.372626920] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698533402.383638829] [nurse]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698533402.448087297] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698533402.472132098] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698533402.802153371] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533403.821496935] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533404.842743465] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533405.861582996] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533406.871724582] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533407.884609126] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698533408.897166656] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533409.908526178] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533410.921961664] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698533411.897874449] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698533411.915654299] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698533411.933399150] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533412.945689610] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533413.870719791] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698533413.910452455] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698533413.923449345] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698533413.938728216] [coordinator]: Planing
