 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-06-20-130142-603a8ef8b169-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698541583.704398616] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698541583.774218522] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698541583.784116509] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698541583.822529457] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698541583.855108414] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698541584.037519169] [robot]: Starting Robot server
trials-all-1  | [nurse-4] [INFO] [1698541584.071663123] [nurse]: Starting Nurse server
trials-all-1  | [robot-6] [INFO] [1698541584.092934094] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698541584.097795088] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698541584.127599048] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698541584.138153033] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698541584.183253973] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698541584.217169927] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698541584.225158916] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698541584.320402787] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698541584.411738664] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698541584.466022591] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698541584.495309551] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698541585.251415528] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541586.270121138] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541587.285295742] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541588.299414335] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541589.313317917] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541590.326319488] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698541591.336652052] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541592.348382602] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541593.362315137] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698541593.698755649] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698541593.715646624] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698541594.378824657] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541595.400119159] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541596.251873900] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698541596.284584852] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698541596.289998844] [coordinator]: Sending response
