 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-05-40-823859-f72fc3cdbedd-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698541544.188070720] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698541544.228731537] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698541544.239604488] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698541544.299602217] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698541544.438699590] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698541544.451222534] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698541544.701894404] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698541544.735397252] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698541544.742715220] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698541544.892811543] [environment]: Starting Environment server
trials-all-1  | [robot-6] [INFO] [1698541544.909431468] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698541544.916996434] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698541544.943397315] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698541544.950236284] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698541545.002876047] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698541545.003475044] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698541545.049897834] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698541545.073244729] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698541545.274280822] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541546.290201235] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541547.323723563] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541548.338647970] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541549.351015383] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541550.362296796] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698541551.375098196] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541552.389540584] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541553.402776972] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698541554.368711571] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698541554.390630471] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698541554.417592348] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541555.438083692] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541556.553862595] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698541556.587752441] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698541556.599694386] [coordinator]: Sending response
