 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-45-04-976142-91a5fee56061-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [51]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [53]
trials-all-1  | [INFO] [environment-3]: process started with pid [55]
trials-all-1  | [INFO] [nurse-4]: process started with pid [57]
trials-all-1  | [INFO] [planner-5]: process started with pid [59]
trials-all-1  | [INFO] [robot-6]: process started with pid [61]
trials-all-1  | [environment-3] [INFO] [1698529508.500042822] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698529508.531600353] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698529508.811218059] [nurse]: Starting Nurse server
trials-all-1  | [coordinator-2] [INFO] [1698529508.818397180] [coordinator]: Starting Coordinator server
trials-all-1  | [nurse-4] [INFO] [1698529508.848484686] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698529508.853205766] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698529508.891662413] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698529508.901276575] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698529509.006574347] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698529509.063011291] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698529509.071796438] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698529509.128940394] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698529509.177350204] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698529509.201978617] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698529509.240221257] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698529509.263196641] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698529509.269510747] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698529509.938067934] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698529510.295221882] [arm]: environment service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529510.948633753] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698529511.312395775] [arm]: environment service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698529511.600978548] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698529511.962749531] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529512.977554222] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529513.989591768] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529515.002059223] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698529516.017444624] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529517.028127852] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529518.040523010] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698529518.532748820] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698529518.556507197] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698529519.052863068] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529520.069884102] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529520.913729331] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698529520.948921883] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698529520.961427079] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698529520.974181279] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698529520.976422314] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698529520.990907541] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698529521.003633741] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698529521.017054950] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698529521.026919104] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698529521.039174294] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698529521.048276436] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698529521.057194575] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529521.066873726] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698529521.077010884] [planner]: a_close_drawer,robot1
