 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-44-25-950782-97f8e2c3d732-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698529469.667317063] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698529469.714031915] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698529469.724422105] [robot]: Starting Robots clients
trials-all-1  | [environment-3] [INFO] [1698529469.788142268] [environment]: Starting Environment server
trials-all-1  | [coordinator-2] [INFO] [1698529469.793748370] [coordinator]: Starting Coordinator server
trials-all-1  | [environment-3] [INFO] [1698529469.838399185] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698529469.848024360] [nurse]: Starting Nurse server
trials-all-1  | [coordinator-2] [INFO] [1698529469.858826558] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698529469.868464733] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698529469.885355042] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698529469.893844197] [nurse]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698529469.964588488] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698529469.975428685] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698529470.040895876] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698529470.141067694] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698529470.168062184] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698529470.172944273] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698529470.899322456] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698529471.217754213] [arm]: robot service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529471.912351749] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698529472.230835475] [arm]: robot service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698529472.739819610] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698529472.930116026] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529473.942565104] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529474.955508088] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529475.969890996] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698529476.982613773] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529477.993854422] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529479.004100953] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698529479.493100390] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698529479.511169702] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698529480.017707440] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529481.036778918] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529481.655416470] [coordinator]: Coordinator clients started
