 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-00-48-634750-6c2d4b697eb8-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698537652.124019640] [arm]: Starting Arm server
trials-all-1  | [environment-3] [INFO] [1698537652.189487957] [environment]: Starting Environment server
trials-all-1  | [arm-1] [INFO] [1698537652.193240033] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698537652.200436177] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698537652.246116096] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698537652.330027784] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698537652.366435516] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698537652.377127732] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698537652.604294301] [robot]: Starting Robot server
trials-all-1  | [coordinator-2] [INFO] [1698537652.646221144] [coordinator]: Starting Coordinator server
trials-all-1  | [robot-6] [INFO] [1698537652.654048302] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698537652.660682435] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698537652.693449094] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698537652.701790262] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698537652.726714763] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698537652.765330540] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698537653.410223490] [nurse]: coordinator service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537653.728367872] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698537654.422468772] [nurse]: coordinator service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537654.741323150] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698537655.212715568] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698537655.232018953] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698537655.753325353] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537656.763711467] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537657.776175566] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537658.787187580] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698537659.811410799] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537660.824494741] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537661.835502587] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698537662.311233904] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698537662.330870288] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698537662.850321451] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537663.886528676] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537664.780674080] [coordinator]: Coordinator clients started
