 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-08-33-891807-12273f32b1a0-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698541717.385670034] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698541717.456246767] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698541717.487417000] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698541717.752744439] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698541717.767669114] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698541717.794543728] [nurse]: Nurse server started
trials-all-1  | [arm-1] [INFO] [1698541717.797032507] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698541717.802496021] [arm]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698541717.819455516] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698541717.871825865] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698541717.907959657] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698541717.912330268] [robot]: Starting Robots clients
trials-all-1  | [environment-3] [INFO] [1698541717.967360382] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698541717.989018459] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698541718.117906032] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698541718.130731895] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698541718.203697427] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698541718.530755437] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698541718.830574861] [arm]: environment service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541719.552903920] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698541719.843982165] [arm]: environment service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541720.573964664] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698541720.879630666] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698541721.595138561] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541722.620536249] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541723.636405939] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698541724.650186973] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541725.662846265] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541726.674086841] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698541727.384603808] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698541727.477307721] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698541727.686323488] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541728.706094637] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541729.859264351] [coordinator]: Coordinator clients started
