 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-47-19-344815-6a2456b371d2-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698529643.145572439] [coordinator]: Starting Coordinator server
trials-all-1  | [arm-1] [INFO] [1698529643.151253527] [arm]: Starting Arm server
trials-all-1  | [coordinator-2] [INFO] [1698529643.196717232] [coordinator]: Coordinator server started
trials-all-1  | [arm-1] [INFO] [1698529643.213096485] [arm]: Arm server started
trials-all-1  | [coordinator-2] [INFO] [1698529643.219352582] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698529643.227863714] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698529643.333525351] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698529643.368862898] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698529643.591387345] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698529643.634679016] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698529643.643529153] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698529643.685434802] [nurse]: Starting Nurse server
trials-all-1  | [robot-6] [INFO] [1698529643.695245954] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698529643.716419282] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698529643.730802505] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698529643.775260193] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698529643.787963390] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698529643.807176688] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698529644.258431654] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529645.275934296] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529646.289037775] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529647.302273161] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529648.313498421] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529649.325902605] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698529650.337736686] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529651.348151652] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529652.360373551] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698529653.278724989] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698529653.303196345] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698529653.374392383] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529654.393996201] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529655.235297360] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698529655.278749985] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698529655.292744186] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698529655.302222322] [coordinator]: Sending response
