 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-46-40-343714-88e2d9da7906-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [53]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [55]
trials-all-1  | [INFO] [environment-3]: process started with pid [57]
trials-all-1  | [INFO] [nurse-4]: process started with pid [59]
trials-all-1  | [INFO] [planner-5]: process started with pid [61]
trials-all-1  | [INFO] [robot-6]: process started with pid [63]
trials-all-1  | [nurse-4] [INFO] [1698529603.998872782] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698529604.019428178] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698529604.032616431] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698529604.038593546] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698529604.074919244] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698529604.085467447] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698529604.199539639] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698529604.251346634] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698529604.265790912] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698529604.439309246] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698529604.462597694] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698529604.489089203] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698529604.520421805] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698529604.525191897] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698529604.567524710] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698529604.609014507] [nurse]: Nurse clients started
trials-all-1  | [arm-1] [INFO] [1698529604.642118143] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698529604.652513343] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698529605.300887772] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529606.318773198] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529607.331768427] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529608.346699589] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529609.359143602] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529610.372274525] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698529611.385105341] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529612.397157040] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529613.409380640] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698529613.606290247] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698529613.701342988] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698529614.423295170] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529615.444743735] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529616.282987895] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698529616.322225602] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698529616.330622754] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698529616.336905867] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698529616.345336019] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [nurse-4] [INFO] [1698529616.347845064] [nurse]: Request response:Okay!
trials-all-1  | [planner-5] [INFO] [1698529616.356658223] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698529616.360962300] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698529616.371016481] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698529616.375590564] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698529616.379232630] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698529616.383970715] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529616.387701782] [planner]: a_deposit,nurse1,robot1
trials-all-1  | [planner-5] [INFO] [1698529616.392260864] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529616.396175935] [planner]: a_navto,robot1,Room3
trials-all-1  | [planner-5] [INFO] [1698529616.400128006] [planner]: a_approach_arm,robot1,arm1
trials-all-1  | [planner-5] [INFO] [1698529616.404275081] [planner]: a_open_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529616.408978166] [planner]: a_pick_up_sample,arm1,robot1
trials-all-1  | [planner-5] [INFO] [1698529616.413142241] [planner]: a_close_drawer,robot1
trials-all-1  | [planner-5] [INFO] [1698529616.417109312] [planner]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698529616.427889506] [coordinator]: Plan received for: robot1, nurse1, arm1 
trials-all-1  | [coordinator-2] [INFO] [1698529616.431794577] [coordinator]: a_navto,robot1,Room1/a_approach_nurse,robot1/a_authenticate_nurse,robot1,nurse1/a_open_drawer,robot1/a_deposit,nurse1,robot1/a_close_drawer,robot1/a_navto,robot1,Room3/a_approach_arm,robot1,arm1/a_open_drawer,robot1/a_pick_up_sample,arm1,robot1/a_close_drawer,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529616.435450643] [coordinator]: a_navto,robot1,Room1
trials-all-1  | [coordinator-2] [INFO] [1698529616.451129925] [coordinator]: a_approach_nurse,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529616.456101015] [coordinator]: a_authenticate_nurse,robot1,nurse1
