 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-54-24-081915-4788d038a40e-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698533667.851391605] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698533667.898666253] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698533667.903016128] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698533667.925359489] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698533667.959728507] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698533667.965627338] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698533667.994402515] [arm]: Starting Arm server
trials-all-1  | [environment-3] [INFO] [1698533668.022367716] [environment]: Starting Environment server
trials-all-1  | [arm-1] [INFO] [1698533668.025679621] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698533668.032516426] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698533668.065220491] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698533668.077137151] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698533668.260585908] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698533668.302642707] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698533668.311848444] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698533668.558795387] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698533668.572392998] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698533668.942031436] [robot]: coordinator service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533669.343520970] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698533669.954164533] [robot]: coordinator service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533670.360685932] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698533670.762843457] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698533671.378672893] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533672.395054921] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533673.408726048] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698533674.422223200] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533675.434688404] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533676.447001633] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533677.462234800] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698533677.698817084] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698533677.719237504] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698533678.475097056] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533679.493735169] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533680.330756448] [coordinator]: Coordinator clients started
