 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-02-23-860131-582fa1b187c5-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698537747.843800101] [environment]: Starting Environment server
trials-all-1  | [nurse-4] [INFO] [1698537747.868798587] [nurse]: Starting Nurse server
trials-all-1  | [environment-3] [INFO] [1698537747.899224179] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698537747.913418455] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698537747.927302725] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698537747.994376030] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698537748.038711890] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698537748.050851126] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698537748.223761480] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698537748.256515115] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698537748.263237246] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698537748.332235584] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698537748.377258458] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698537748.387394654] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698537748.425324390] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698537748.504947935] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698537748.519069209] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698537748.549762804] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698537749.079252071] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537750.092535669] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537751.103426166] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537752.116326647] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537753.128111052] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537754.139537396] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698537755.151446694] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537756.164428960] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537757.177879180] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698537757.863985162] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698537757.884553551] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698537758.195791430] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537759.209763551] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537759.798254624] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698537759.839860407] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698537759.851071618] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698537759.865064881] [coordinator]: Planing
