 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-49-32-753643-e9f12074c531-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [nurse-4] [INFO] [1698529776.774807748] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698529776.798624091] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698529776.804878181] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698529776.837268647] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698529776.864852044] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698529776.869092105] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698529776.904685618] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698529776.945170201] [environment]: Starting Environment server
trials-all-1  | [coordinator-2] [INFO] [1698529776.952614308] [coordinator]: Starting Coordinator server
trials-all-1  | [robot-6] [INFO] [1698529776.965914500] [robot]: Robot server started
trials-all-1  | [environment-3] [INFO] [1698529776.975314635] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698529776.988003818] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698529777.014130193] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698529777.030188423] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698529777.052465741] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698529777.095191353] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698529777.107826534] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698529777.151109153] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698529778.065791236] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529779.081446671] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529780.095440992] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529781.110197232] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529782.121150327] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529783.132999345] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698529784.145041275] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529785.155261090] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529786.168524856] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698529786.459311785] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698529786.486404151] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698529786.758774832] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698529786.789636249] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698529786.801682411] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698529786.805209459] [coordinator]: Sending response
trials-all-1  | [nurse-4] [INFO] [1698529786.816687614] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698529786.822516693] [coordinator]: Creating plan for: robot1, nurse1, arm1 
