 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-05-17-684046-e098701b8a95-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698537921.578537793] [environment]: Starting Environment server
trials-all-1  | [coordinator-2] [INFO] [1698537921.583050856] [coordinator]: Starting Coordinator server
trials-all-1  | [environment-3] [INFO] [1698537921.629992506] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698537921.641516665] [arm]: Starting Arm server
trials-all-1  | [coordinator-2] [INFO] [1698537921.644594708] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698537921.650255786] [coordinator]: Starting Coordinator clients
trials-all-1  | [robot-6] [INFO] [1698537921.661369940] [robot]: Starting Robot server
trials-all-1  | [arm-1] [INFO] [1698537921.700365480] [arm]: Arm server started
trials-all-1  | [robot-6] [INFO] [1698537921.708947599] [robot]: Robot server started
trials-all-1  | [nurse-4] [INFO] [1698537921.712075642] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698537921.717949723] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698537921.722039780] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698537921.771856470] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698537921.775656522] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698537921.782556618] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698537921.787679689] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698537921.866556781] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698537921.893605155] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698537922.692122182] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537923.705688144] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537924.717456038] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537925.730174903] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537926.742622722] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537927.754085485] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698537928.764592192] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537929.777526891] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537930.790118543] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698537931.312070562] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698537931.328686785] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698537931.808372228] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537932.828507897] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537933.411662689] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698537933.447344166] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698537933.459389327] [coordinator]: Planing
