 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-00-04-38-190572-cbffe901c557-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698537881.764502231] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698537881.835011142] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698537881.847864308] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698537881.870307597] [environment]: Starting Environment server
trials-all-1  | [robot-6] [INFO] [1698537881.898748964] [robot]: Starting Robot server
trials-all-1  | [environment-3] [INFO] [1698537881.911799133] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698537881.938164473] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698537881.949862624] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698537881.993178183] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698537882.083690348] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698537882.116892776] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698537882.121014829] [nurse]: Starting Nurse clients
trials-all-1  | [nurse-4] [INFO] [1698537882.190326721] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698537882.206021923] [nurse]: Sent request
trials-all-1  | [arm-1] [INFO] [1698537882.238176336] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698537882.260524624] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698537882.266047695] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698537882.873230509] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698537883.301706010] [arm]: robot service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537883.894849620] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698537884.313497978] [arm]: robot service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698537884.821233471] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698537884.918088710] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537885.942174769] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537886.955447649] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537887.970023505] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698537888.981464280] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537889.991825002] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537891.003815703] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537892.021150431] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698537892.090266293] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698537892.106154491] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698537893.038084112] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698537893.859684327] [coordinator]: Coordinator clients started
