 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-13-00-930114-e1e1b5bc6e59-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [51]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [53]
trials-all-1  | [INFO] [environment-3]: process started with pid [55]
trials-all-1  | [INFO] [nurse-4]: process started with pid [57]
trials-all-1  | [INFO] [planner-5]: process started with pid [59]
trials-all-1  | [INFO] [robot-6]: process started with pid [61]
trials-all-1  | [nurse-4] [INFO] [1698541984.374165694] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698541984.426049657] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698541984.436632037] [nurse]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698541984.444692566] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698541984.470175074] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698541984.593752840] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698541984.642699975] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698541984.662384823] [arm]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698541984.799598791] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698541984.838774498] [robot]: Robot server started
trials-all-1  | [coordinator-2] [INFO] [1698541984.840449400] [coordinator]: Starting Coordinator server
trials-all-1  | [robot-6] [INFO] [1698541984.848683918] [robot]: Starting Robots clients
trials-all-1  | [coordinator-2] [INFO] [1698541984.876609283] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698541984.883115902] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698541985.701235080] [arm]: robot service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541985.906743070] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698541986.017838579] [nurse]: robot service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698541986.134492772] [robot]: environment service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698541986.714023959] [arm]: robot service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541986.918329038] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698541987.029538552] [nurse]: robot service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698541987.150182524] [robot]: environment service not available, waiting again...
trials-all-1  | [nurse-4] [INFO] [1698541987.285730629] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698541987.299054852] [nurse]: Sent request
trials-all-1  | [robot-6] [INFO] [1698541987.409008447] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698541987.473689680] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698541987.932758938] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541988.945797015] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541989.959874128] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541990.973287376] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698541991.985716776] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541992.997862289] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541994.008700973] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698541994.271374843] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698541994.299895201] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698541994.571905533] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698541994.608641417] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698541994.618958823] [coordinator]: Sending response
trials-all-1  | [coordinator-2] [INFO] [1698541994.628677263] [coordinator]: Planing
trials-all-1  | [nurse-4] [INFO] [1698541994.635873849] [nurse]: Request response:Okay!
trials-all-1  | [coordinator-2] [INFO] [1698541994.642397473] [coordinator]: Creating plan for: robot1, nurse1, arm1 
trials-all-1  | [planner-5] [INFO] [1698541994.654286788] [planner]: Receiving sync message. need_plan,robot1,nurse1,arm1
trials-all-1  | [planner-5] [INFO] [1698541994.658765530] [planner]: Creating plan for: robot1 robot1 nurse1
trials-all-1  | [planner-5] [INFO] [1698541994.683670096] [planner]: a_navto,robot1,Room1
trials-all-1  | [planner-5] [INFO] [1698541994.693301541] [planner]: a_approach_nurse,robot1
trials-all-1  | [planner-5] [INFO] [1698541994.711122515] [planner]: a_authenticate_nurse,robot1,nurse1
trials-all-1  | [planner-5] [INFO] [1698541994.719444035] [planner]: a_open_drawer,robot1
