 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-29-01-12-23-772312-6d2e077ca2d5-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [coordinator-2] [INFO] [1698541947.633723893] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698541947.706712295] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698541947.710997026] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698541947.853186069] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698541947.862913456] [nurse]: Starting Nurse server
trials-all-1  | [arm-1] [INFO] [1698541947.895207422] [arm]: Arm server started
trials-all-1  | [nurse-4] [INFO] [1698541947.896337351] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698541947.900404095] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698541947.899172172] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698541947.958901410] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698541947.983877837] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698541948.046546894] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698541948.076965981] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698541948.084723493] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698541948.204255976] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698541948.213547392] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698541948.750799606] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698541949.106270263] [robot]: coordinator service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698541949.188285114] [arm]: robot service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541949.767181770] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [robot-6] [INFO] [1698541950.118445728] [robot]: coordinator service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698541950.201289536] [arm]: robot service not available, waiting again...
trials-all-1  | [arm-1] [INFO] [1698541950.458892389] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698541950.664631494] [robot]: Robots clients started
trials-all-1  | [coordinator-2] [INFO] [1698541950.781838147] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541951.795390700] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541952.809262339] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541953.823209079] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698541954.840472718] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541955.855058629] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698541956.871406536] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698541957.266571038] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698541957.298255075] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698541957.455738317] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698541957.493027006] [coordinator]: Receiving message of nurse1 in room3.
