 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-51-46-627779-e16e877ddb68-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [robot-6] [INFO] [1698529910.585432827] [robot]: Starting Robot server
trials-all-1  | [robot-6] [INFO] [1698529910.632583263] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698529910.641163342] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698529910.753196378] [arm]: Starting Arm server
trials-all-1  | [nurse-4] [INFO] [1698529910.753274379] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698529910.794263758] [nurse]: Nurse server started
trials-all-1  | [arm-1] [INFO] [1698529910.797314786] [arm]: Arm server started
trials-all-1  | [nurse-4] [INFO] [1698529910.803618844] [nurse]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698529910.808381888] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698529910.850295276] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698529910.906283794] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698529910.923564953] [coordinator]: Starting Coordinator clients
trials-all-1  | [environment-3] [INFO] [1698529911.077775374] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698529911.103714611] [environment]: Environment server started
trials-all-1  | [arm-1] [INFO] [1698529911.117761740] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698529911.192086422] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698529911.364819006] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698529911.386428204] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698529911.953744406] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529912.972606672] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529913.987282821] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529915.003586904] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529916.017313883] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529917.028641762] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698529918.042436583] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529919.053850305] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529920.066508959] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698529920.280140770] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698529920.295664901] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698529921.077626522] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529922.093428045] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529922.736423396] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698529922.782513779] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698529922.805165968] [coordinator]: Planing
