 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-21-51-06-472512-b30a049c2ef3-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698529870.520692001] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698529870.550054418] [environment]: Environment server started
trials-all-1  | [robot-6] [INFO] [1698529870.583909898] [robot]: Starting Robot server
trials-all-1  | [nurse-4] [INFO] [1698529870.585207917] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698529870.631282571] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698529870.648927821] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698529870.659152966] [robot]: Robot server started
trials-all-1  | [arm-1] [INFO] [1698529870.674545185] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698529870.683073306] [robot]: Starting Robots clients
trials-all-1  | [arm-1] [INFO] [1698529870.713633740] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698529870.726611924] [arm]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698529870.741356133] [coordinator]: Starting Coordinator server
trials-all-1  | [arm-1] [INFO] [1698529870.815799190] [arm]: Nurse clients started
trials-all-1  | [coordinator-2] [INFO] [1698529870.854261736] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698529870.868652940] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698529871.031706252] [nurse]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698529871.053796564] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698529871.073037836] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698529871.913705695] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529872.927111910] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529873.939787025] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529874.953500064] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529875.964874982] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529876.977012820] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698529877.988166557] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529878.999717209] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529880.013286800] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698529880.895332550] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698529880.913352791] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698529881.023765260] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529882.042124735] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698529882.641705620] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698529882.681394142] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698529882.694835318] [coordinator]: Planing
trials-all-1  | [coordinator-2] [INFO] [1698529882.709319509] [coordinator]: Sending response
