 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-58-52-305041-b80c8abb3395-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [environment-3] [INFO] [1698533935.899739740] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698533935.929501203] [environment]: Environment server started
trials-all-1  | [nurse-4] [INFO] [1698533936.051209010] [nurse]: Starting Nurse server
trials-all-1  | [nurse-4] [INFO] [1698533936.091651281] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698533936.102548085] [nurse]: Starting Nurse clients
trials-all-1  | [coordinator-2] [INFO] [1698533936.241436582] [coordinator]: Starting Coordinator server
trials-all-1  | [coordinator-2] [INFO] [1698533936.297977563] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698533936.307019400] [coordinator]: Starting Coordinator clients
trials-all-1  | [arm-1] [INFO] [1698533936.411834511] [arm]: Starting Arm server
trials-all-1  | [robot-6] [INFO] [1698533936.435087092] [robot]: Starting Robot server
trials-all-1  | [arm-1] [INFO] [1698533936.436042075] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698533936.440438996] [arm]: Starting Nurse clients
trials-all-1  | [arm-1] [INFO] [1698533936.478705306] [arm]: Nurse clients started
trials-all-1  | [robot-6] [INFO] [1698533936.486854159] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698533936.491002084] [robot]: Starting Robots clients
trials-all-1  | [robot-6] [INFO] [1698533936.544276124] [robot]: Robots clients started
trials-all-1  | [nurse-4] [INFO] [1698533936.666629919] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698533936.694614415] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698533937.357147475] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533938.373779154] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533939.387827879] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533940.401305614] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533941.415735332] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533942.428293084] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698533943.441436825] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533944.453098592] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533945.466144335] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698533945.923074100] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698533945.940599784] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698533946.478426091] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533947.494051786] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533948.085620125] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698533948.124552423] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698533948.134269248] [coordinator]: Planing
