 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [INFO] [launch]: All log files can be found below /root/.ros/log/2023-10-28-22-58-12-969545-9a74ea23f73c-1
trials-all-1  | [INFO] [launch]: Default logging verbosity is set to INFO
trials-all-1  | [INFO] [arm-1]: process started with pid [52]
trials-all-1  | [INFO] [coordinator-2]: process started with pid [54]
trials-all-1  | [INFO] [environment-3]: process started with pid [56]
trials-all-1  | [INFO] [nurse-4]: process started with pid [58]
trials-all-1  | [INFO] [planner-5]: process started with pid [60]
trials-all-1  | [INFO] [robot-6]: process started with pid [62]
trials-all-1  | [arm-1] [INFO] [1698533896.776916554] [arm]: Starting Arm server
trials-all-1  | [arm-1] [INFO] [1698533896.810874936] [arm]: Arm server started
trials-all-1  | [arm-1] [INFO] [1698533896.821015751] [arm]: Starting Nurse clients
trials-all-1  | [environment-3] [INFO] [1698533896.842095367] [environment]: Starting Environment server
trials-all-1  | [environment-3] [INFO] [1698533896.868070894] [environment]: Environment server started
trials-all-1  | [coordinator-2] [INFO] [1698533896.904429232] [coordinator]: Starting Coordinator server
trials-all-1  | [robot-6] [INFO] [1698533896.926833824] [robot]: Starting Robot server
trials-all-1  | [coordinator-2] [INFO] [1698533896.952995347] [coordinator]: Coordinator server started
trials-all-1  | [coordinator-2] [INFO] [1698533896.961035201] [coordinator]: Starting Coordinator clients
trials-all-1  | [nurse-4] [INFO] [1698533896.961396194] [nurse]: Starting Nurse server
trials-all-1  | [robot-6] [INFO] [1698533896.987203724] [robot]: Robot server started
trials-all-1  | [robot-6] [INFO] [1698533897.002048454] [robot]: Starting Robots clients
trials-all-1  | [nurse-4] [INFO] [1698533897.030438936] [nurse]: Nurse server started
trials-all-1  | [nurse-4] [INFO] [1698533897.037603806] [nurse]: Starting Nurse clients
trials-all-1  | [robot-6] [INFO] [1698533897.077359082] [robot]: Robots clients started
trials-all-1  | [arm-1] [INFO] [1698533897.114922398] [arm]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698533897.124617221] [nurse]: Nurse clients started
trials-all-1  | [nurse-4] [INFO] [1698533897.136061013] [nurse]: Sent request
trials-all-1  | [coordinator-2] [INFO] [1698533897.992248417] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533899.006826937] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533900.020912466] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533901.033206028] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533902.047274558] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533903.058545139] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] Matplotlib is building the font cache; this may take a moment.
trials-all-1  | [coordinator-2] [INFO] [1698533904.073382656] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533905.087287189] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533906.102107706] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [planner-5] [INFO] [1698533906.703220758] [planner]: Starting Planner server
trials-all-1  | [planner-5] [INFO] [1698533906.718982471] [planner]: Planner server started
trials-all-1  | [coordinator-2] [INFO] [1698533907.122139129] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533908.142933538] [coordinator]: planner sync service not available, waiting again...
trials-all-1  | [coordinator-2] [INFO] [1698533908.764252222] [coordinator]: Coordinator clients started
trials-all-1  | [coordinator-2] [INFO] [1698533908.801627541] [coordinator]: Receiving message of nurse1 in room3.
trials-all-1  | [coordinator-2] [INFO] [1698533908.813374327] [coordinator]: Sending response
